order_id,product_id,product_name,quantity,price,timestamp
1001,3,Eggs,2,4.0,2024-02-03 02:07:00
1001,1,Bread,3,2.5,2024-02-03 02:07:00
1002,2,Milk,3,3.2,2024-01-28 13:11:00
1002,10,Cheese,3,9.0,2024-01-28 13:11:00
1002,7,Juice,1,2.9,2024-01-28 13:11:00
1003,4,Butter,3,5.75,2024-01-16 14:57:00
1003,9,Tea,1,4.8,2024-01-16 14:57:00
1004,6,Cereal,3,7.1,2024-02-01 20:23:00
1004,3,Eggs,2,4.0,2024-02-01 20:23:00
1004,7,Juice,2,2.9,2024-02-01 20:23:00
1004,10,Cheese,1,9.0,2024-02-01 20:23:00
1005,7,Juice,3,2.9,2024-01-17 10:46:00
1005,5,Jam,3,6.3,2024-01-17 10:46:00
1005,4,Butter,3,5.75,2024-01-17 10:46:00
1005,3,Eggs,2,4.0,2024-01-17 10:46:00
1006,3,Eggs,2,4.0,2024-01-15 15:52:00
1007,3,Eggs,1,4.0,2024-02-04 06:44:00
1008,10,Cheese,3,9.0,2024-01-20 04:38:00
1008,8,Coffee,1,8.5,2024-01-20 04:38:00
1009,7,Juice,1,2.9,2024-01-20 20:22:00
1009,9,Tea,2,4.8,2024-01-20 20:22:00
1009,8,Coffee,2,8.5,2024-01-20 20:22:00
1010,10,Cheese,1,9.0,2024-01-17 16:57:00
1010,5,Jam,3,6.3,2024-01-17 16:57:00
1011,9,Tea,1,4.8,2024-01-23 01:16:00
1011,3,Eggs,2,4.0,2024-01-23 01:16:00
1011,4,Butter,1,5.75,2024-01-23 01:16:00
1012,7,Juice,3,2.9,2024-01-26 04:02:00
1012,2,Milk,3,3.2,2024-01-26 04:02:00
1012,6,Cereal,1,7.1,2024-01-26 04:02:00
1013,9,Tea,1,4.8,2024-02-04 04:10:00
1013,7,Juice,3,2.9,2024-02-04 04:10:00
1013,5,Jam,3,6.3,2024-02-04 04:10:00
1014,9,Tea,3,4.8,2024-01-31 14:04:00
1014,8,Coffee,2,8.5,2024-01-31 14:04:00
1015,10,Cheese,2,9.0,2024-01-16 02:42:00
1015,4,Butter,3,5.75,2024-01-16 02:42:00
1016,5,Jam,2,6.3,2024-01-30 00:22:00
1016,2,Milk,2,3.2,2024-01-30 00:22:00
1017,8,Coffee,1,8.5,2024-01-23 13:32:00
1017,10,Cheese,3,9.0,2024-01-23 13:32:00
1017,5,Jam,2,6.3,2024-01-23 13:32:00
1018,1,Bread,2,2.5,2024-01-29 05:18:00
1018,6,Cereal,2,7.1,2024-01-29 05:18:00
1019,5,Jam,2,6.3,2024-01-28 00:27:00
1019,8,Coffee,1,8.5,2024-01-28 00:27:00
1019,7,Juice,2,2.9,2024-01-28 00:27:00
1019,1,Bread,1,2.5,2024-01-28 00:27:00
1020,7,Juice,2,2.9,2024-02-01 20:25:00
1020,6,Cereal,1,7.1,2024-02-01 20:25:00
1020,9,Tea,2,4.8,2024-02-01 20:25:00
1020,5,Jam,2,6.3,2024-02-01 20:25:00
1021,6,Cereal,3,7.1,2024-01-19 11:04:00
1021,4,Butter,2,5.75,2024-01-19 11:04:00
1022,4,Butter,3,5.75,2024-01-16 21:08:00
1022,9,Tea,3,4.8,2024-01-16 21:08:00
1022,8,Coffee,1,8.5,2024-01-16 21:08:00
1022,6,Cereal,1,7.1,2024-01-16 21:08:00
1023,9,Tea,1,4.8,2024-02-03 01:43:00
1023,10,Cheese,1,9.0,2024-02-03 01:43:00
1023,1,Bread,1,2.5,2024-02-03 01:43:00
1024,5,Jam,3,6.3,2024-01-17 03:21:00
1024,3,Eggs,2,4.0,2024-01-17 03:21:00
1025,6,Cereal,2,7.1,2024-01-17 10:03:00
1025,5,Jam,2,6.3,2024-01-17 10:03:00
1025,3,Eggs,2,4.0,2024-01-17 10:03:00
1026,6,Cereal,2,7.1,2024-02-01 01:44:00
1026,7,Juice,2,2.9,2024-02-01 01:44:00
1026,5,Jam,3,6.3,2024-02-01 01:44:00
1026,3,Eggs,2,4.0,2024-02-01 01:44:00
1027,3,Eggs,1,4.0,2024-01-15 15:22:00
1027,1,Bread,1,2.5,2024-01-15 15:22:00
1027,4,Butter,2,5.75,2024-01-15 15:22:00
1027,7,Juice,1,2.9,2024-01-15 15:22:00
1028,6,Cereal,2,7.1,2024-01-26 09:53:00
1029,4,Butter,3,5.75,2024-01-18 18:35:00
1029,3,Eggs,3,4.0,2024-01-18 18:35:00
1030,1,Bread,3,2.5,2024-01-17 06:53:00
